Day,date,Temperature,Weather,Feels Like,Wind,Humidity,Chance,rainfall,cloud_cover,UV,Sunrise,Sunset
Thu,29/06/23,19 / 13ʡC,Mostly cloudy.,19ʡC,24 km/h,53%,6%,-,0%,0 (Low),07:17,17:14
Fri,30/06/23,19 / 12ʡC,Sprinkles early. Mostly cloudy.,19ʡC,35 km/h,55%,23%,0.9,20%,0 (Low),07:17,17:14
Sat,01/07/23,21 / 10ʡC,Sunny.,20ʡC,6 km/h,47%,0%,-,0%,3 (Moderate),07:17,17:15
Sun,02/07/23,20 / 12ʡC,Sunny.,19ʡC,11 km/h,60%,0%,-,0%,3 (Moderate),07:17,17:15
Mon,03/07/23,24 / 10ʡC,Afternoon clouds.,25ʡC,8 km/h,41%,0%,-,0%,3 (Moderate),07:17,17:15
Tue,04/07/23,17 / 12ʡC,Sprinkles late. Overcast.,16ʡC,43 km/h,55%,14%,0.3,20%,0 (Low),07:17,17:16
Wed,05/07/23,14 / 9ʡC,Light showers. Cloudy.,13ʡC,14 km/h,62%,21%,7.8,40%,0 (Low),07:17,17:16
Thu,06/07/23,17 / 9ʡC,Mostly cloudy.,17ʡC,31 km/h,50%,3%,-,0%,3 (Moderate),07:17,17:17
Fri,07/07/23,19 / 9ʡC,Decreasing cloudiness.,19ʡC,11 km/h,41%,2%,-,0%,0 (Low),07:17,17:17
Sat,08/07/23,21 / 11ʡC,Sprinkles late. Increasing cloudiness.,20ʡC,24 km/h,67%,40%,0.4,20%,0 (Low),07:16,17:18
Sun,09/07/23,19 / 13ʡC,Overcast.,18ʡC,27 km/h,80%,42%,0.3,20%,0 (Low),07:16,17:18
Mon,10/07/23,18 / 12ʡC,Cloudy.,17ʡC,17 km/h,86%,6%,-,0%,0 (Low),07:16,17:19
Tue,11/07/23,19 / 12ʡC,Broken clouds.,18ʡC,23 km/h,73%,6%,-,0%,3 (Moderate),07:16,17:19
Wed,12/07/23,19 / 12ʡC,Mostly sunny.,18ʡC,12 km/h,75%,6%,-,0%,3 (Moderate),07:15,17:20
Thu,13/07/23,19 / 13ʡC,Tstorms early. Morning clouds.,18ʡC,11 km/h,83%,13%,0.2,20%,3 (Moderate),07:15,17:21